,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,TTWK000537124,2022/5/9 10:04:09,2022/5/9 10:05:15,TRUE,1.106766667,1,42475,42475
1,TTWK000537125,2022/5/9 10:05:30,,尚未完成,,1,42475,42475
2,TTWK000554251,2022/5/9 10:09:20,2022/5/9 10:11:09,TRUE,1.825033333,1,51999,51999
3,TTWK000554259,2022/5/9 10:10:23,2022/5/9 10:11:36,TRUE,1.2179,1,42475,42475
4,TTWK000554252,2022/5/9 10:11:51,2022/5/9 10:13:03,TRUE,1.207316667,1,51999,51999
5,TTWK000554258,2022/5/9 10:11:53,2022/5/9 10:14:02,TRUE,2.148666667,1,42475,42475
6,TTWK000513806,2022/5/9 10:14:24,2022/5/9 10:15:45,TRUE,1.340433333,1,51999,51999
7,TTWK000554253,2022/5/9 10:16:47,2022/5/9 10:18:29,TRUE,1.706,1,51999,51999
8,TTWK000535543,2022/5/9 10:18:41,2022/5/9 10:34:15,TRUE,15.557,1,118382,118382
9,TTWK000554256,2022/5/9 10:18:51,2022/5/9 10:21:24,TRUE,2.557983333,1,42475,42475
10,TTWK000554239,2022/5/9 10:19:32,2022/5/9 10:20:29,TRUE,0.9531833333,1,42471,42471
11,TTWK000535544,2022/5/9 10:20:53,2022/5/9 10:33:53,TRUE,12.98921667,1,83998,83998
12,TTWK000554243,2022/5/9 10:21:01,2022/5/9 10:21:16,TRUE,0.2576666667,1,42471,42471
13,TTWK000554242,2022/5/9 10:22:19,2022/5/9 10:22:43,TRUE,0.3891166667,1,42471,42471
14,TTWK000554240,2022/5/9 10:23:03,2022/5/9 10:23:31,TRUE,0.47,1,42471,42471
15,TTWK000554241,2022/5/9 10:23:46,2022/5/9 10:24:16,TRUE,0.50675,1,42471,42471
16,TTWK000537134,2022/5/9 10:24:19,2022/5/9 10:25:23,TRUE,1.071366667,1,51999,51999
17,TTWK000554235,2022/5/9 10:24:22,2022/5/9 10:26:20,TRUE,1.9678,1,42475,42475
18,TTWK000554244,2022/5/9 10:24:55,2022/5/9 10:25:22,TRUE,0.4483333333,1,42471,42471
19,TTWK000554233,2022/5/9 10:25:46,2022/5/9 10:26:18,TRUE,0.544,1,42471,42471
20,TTWK000537135,2022/5/9 10:26:06,2022/5/9 10:27:41,TRUE,1.591183333,1,51999,51999
21,TTWK000554234,2022/5/9 10:26:34,2022/5/9 10:27:01,TRUE,0.4555333333,1,42471,42471
22,TTWK000513805,2022/5/9 10:26:37,2022/5/9 10:27:22,TRUE,0.7483166667,1,42475,42475
23,TTWK000554266,2022/5/9 10:27:16,2022/5/9 10:27:49,TRUE,0.5493,1,42471,42471
24,TTWK000537120,2022/5/9 10:27:36,2022/5/9 10:28:28,TRUE,0.8559666667,1,42475,42475
25,TTWK000554236,2022/5/9 10:28:02,2022/5/9 10:29:05,TRUE,1.049116667,1,42471,42471
26,TTWK000554230,2022/5/9 10:28:48,2022/5/9 10:29:04,TRUE,0.273,1,42475,42475
27,TTWK000554265,2022/5/9 10:28:53,2022/5/9 10:30:41,TRUE,1.8081,1,51999,51999
28,TTWK000554238,2022/5/9 10:29:20,2022/5/9 10:30:02,TRUE,0.6925833333,1,42471,42471
29,TTWK000554237,2022/5/9 10:30:16,2022/5/9 10:30:51,TRUE,0.5783833333,1,42471,42471
30,TTWK000537121,2022/5/9 10:30:53,2022/5/9 10:31:48,TRUE,0.9200833333,1,42475,42475
31,TTWK000535545,2022/5/9 10:31:12,2022/5/9 10:36:55,TRUE,5.7142,1,42471,42471
32,TTWK000537133,2022/5/9 10:31:50,2022/5/9 10:32:45,TRUE,0.91925,1,51999,51999
33,TTWK000554231,2022/5/9 10:32:03,2022/5/9 10:33:11,TRUE,1.142833333,1,42475,42475
34,TTWK000554264,2022/5/9 10:34:37,2022/5/9 10:35:13,TRUE,0.6069666667,1,51999,51999
35,TTWK000554263,2022/5/9 10:35:54,2022/5/9 10:36:51,TRUE,0.9613,1,51999,51999
36,TTWK000537132,2022/5/9 10:37:47,2022/5/9 10:38:48,TRUE,1.025583333,1,42471,42471
37,TTWK000537130,2022/5/9 10:43:36,2022/5/9 10:44:09,TRUE,0.5529333333,1,42475,42475
38,TTWK000537129,2022/5/9 10:44:55,2022/5/9 10:46:10,TRUE,1.245216667,1,42475,42475
39,TTWK000554262,2022/5/9 10:47:37,2022/5/9 10:48:20,TRUE,0.7192333333,1,42475,42475
40,TTWK000554261,2022/5/9 10:49:23,2022/5/9 10:51:37,TRUE,2.234816667,1,42475,42475
41,TTWK000513807,2022/5/9 10:52:39,2022/5/9 10:53:51,TRUE,1.197083333,1,42475,42475
42,TTWK000537131,2022/5/9 11:03:24,2022/5/9 11:04:20,TRUE,0.9278,1,42475,42475
43,TTWK000537127,2022/5/9 11:04:51,2022/5/9 11:05:39,TRUE,0.7932166667,1,42475,42475
44,TTWK000554257,2022/5/9 11:06:24,2022/5/9 11:08:42,TRUE,2.311533333,1,42475,42475
45,TTWK000537126,2022/5/9 11:09:20,2022/5/9 11:10:03,TRUE,0.72745,1,42475,42475
46,TTWK000537128,2022/5/9 11:10:15,2022/5/9 11:11:00,TRUE,0.7403,1,42475,42475
47,TTWK000554267,2022/5/9 11:13:35,2022/5/9 11:14:25,TRUE,0.83115,1,42475,42475
48,TTWK000513808,2022/5/9 11:14:56,2022/5/9 11:16:43,TRUE,1.78165,1,42475,42475
49,TTWK000537123,2022/5/9 11:18:03,2022/5/9 11:18:56,TRUE,0.8737666667,1,42475,42475
50,TTWK000554269,2022/5/9 11:19:52,2022/5/9 11:20:42,TRUE,0.8266666667,1,42475,42475
51,TTWK000537137,2022/5/9 11:20:57,2022/5/9 11:21:38,TRUE,0.69085,1,42475,42475
52,TTWK000513810,2022/5/9 13:21:14,2022/5/9 13:22:21,TRUE,1.120816667,1,42471,42471
53,TTWK000554271,2022/5/9 13:24:08,2022/5/9 13:24:39,TRUE,0.5212666667,1,42471,42471
54,TTWK000513809,2022/5/9 13:25:00,2022/5/9 13:25:40,TRUE,0.6742166667,1,42471,42471
55,TTWK000554270,2022/5/9 13:25:54,2022/5/9 13:26:39,TRUE,0.7343666667,1,42471,42471
56,TTWK000554272,2022/5/9 13:27:10,2022/5/9 13:28:00,TRUE,0.8425666667,1,42471,42471
57,TTWK000537140,2022/5/9 13:28:18,2022/5/9 13:29:09,TRUE,0.8498833333,1,42471,42471
58,TTWK000554273,2022/5/9 13:29:22,2022/5/9 13:30:24,TRUE,1.028433333,1,42471,42471
59,TTWK000537138,2022/5/9 13:30:49,2022/5/9 13:32:17,TRUE,1.46525,1,42471,42471
60,TTWK000537139,2022/5/9 13:32:29,2022/5/9 13:33:11,TRUE,0.71185,1,42471,42471
61,TTWK000537141,2022/5/9 13:33:54,2022/5/9 13:34:29,TRUE,0.57915,1,42471,42471
62,TTWK000554276,2022/5/9 13:34:47,2022/5/9 13:35:11,TRUE,0.3998166667,1,42471,42471
63,TTWK000537142,2022/5/9 13:35:34,2022/5/9 13:36:05,TRUE,0.5200833333,1,42471,42471
64,TTWK000554278,2022/5/9 13:37:12,2022/5/9 13:38:00,TRUE,0.8065,1,42471,42471
65,TTWK000554280,2022/5/9 13:38:36,2022/5/9 13:39:16,TRUE,0.67315,1,42471,42471
66,TTWK000537145,2022/5/9 13:39:48,2022/5/9 13:40:31,TRUE,0.7111166667,1,42471,42471
67,TTWK000554279,2022/5/9 13:40:47,2022/5/9 13:41:30,TRUE,0.7122333333,1,42471,42471
68,TTWK000537144,2022/5/9 13:41:48,2022/5/9 13:42:37,TRUE,0.8146166667,1,42471,42471
69,TTWK000554275,2022/5/9 13:43:54,2022/5/9 13:44:47,TRUE,0.89855,1,42471,42471
70,TTWK000554277,2022/5/9 13:45:09,2022/5/9 13:46:06,TRUE,0.96285,1,42471,42471
71,TTWK000554274,2022/5/9 13:46:27,2022/5/9 13:47:59,TRUE,1.533933333,1,42471,42471
