,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,TTWK000531987,2022/5/3 9:07:23,2022/5/3 9:09:31,TRUE,2.127566667,1,42558,42558
1,TTWK000531986,2022/5/3 9:09:42,2022/5/3 9:10:05,TRUE,0.38395,1,42558,42558
2,TTWK000531983,2022/5/3 9:10:20,2022/5/3 9:10:53,TRUE,0.5468166667,1,42558,42558
3,TTWK000531984,2022/5/3 9:11:07,2022/5/3 9:11:38,TRUE,0.5143666667,1,42558,42558
4,TTWK000531988,2022/5/3 9:11:53,2022/5/3 9:12:17,TRUE,0.3989833333,1,42558,42558
5,TTWK000531981,2022/5/3 9:12:36,2022/5/3 9:14:05,TRUE,1.486516667,1,42558,42558
6,TTWK000531982,2022/5/3 9:14:18,2022/5/3 9:14:51,TRUE,0.5571166667,1,42558,42558
7,TTWK000531993,2022/5/3 9:18:21,2022/5/3 9:18:54,TRUE,0.5395166667,1,42558,42558
8,TTWK000531985,2022/5/3 9:19:20,2022/5/3 9:19:52,TRUE,0.5177666667,1,42558,42558
9,TTWK000531991,2022/5/3 9:20:02,2022/5/3 9:20:34,TRUE,0.5303,1,42558,42558
10,TTWK000552959,2022/5/3 9:20:21,2022/5/3 9:20:53,TRUE,0.5325333333,1,47353,47353
11,TTWK000531992,2022/5/3 9:20:49,2022/5/3 9:21:21,TRUE,0.53015,1,42558,42558
12,TTWK000552957,2022/5/3 9:21:10,2022/5/3 9:22:54,TRUE,1.74485,1,47353,47353
13,TTWK000531994,2022/5/3 9:21:37,2022/5/3 9:22:28,TRUE,0.8605666667,1,42558,42558
14,TTWK000531980,2022/5/3 9:22:47,2022/5/3 9:23:46,TRUE,0.9843833333,1,42558,42558
15,TTWK000534060,2022/5/3 9:23:19,2022/5/3 9:24:03,TRUE,0.7323833333,1,47353,47353
16,TTWK000534061,2022/5/3 9:24:18,2022/5/3 9:26:10,TRUE,1.877683333,1,47353,47353
17,TTWK000552958,2022/5/3 9:26:44,2022/5/3 9:27:03,TRUE,0.3199166667,1,47353,47353
18,TTWK000552961,2022/5/3 9:27:19,2022/5/3 9:29:34,TRUE,2.244916667,1,42558,42558
19,TTWK000531989,2022/5/3 9:29:19,2022/5/3 10:06:45,TRUE,37.43263333,1,79576,79576
20,TTWK000531996,2022/5/3 9:29:38,2022/5/3 9:40:21,TRUE,10.72105,1,47353,47353
21,TTWK000552960,2022/5/3 9:29:54,2022/5/3 9:31:53,TRUE,1.979716667,1,42558,42558
