,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,TTWK000510233,2022/3/16 9:04:35,2022/3/16 9:05:16,TRUE,0.6819666667,1,42526,42526
1,TTWK000510234,2022/3/16 9:05:27,2022/3/16 9:06:45,TRUE,1.30115,1,42526,42526
2,TTWK000470639,2022/3/16 9:06:58,2022/3/16 9:08:08,TRUE,1.17035,1,42526,42526
3,TTWK000526947,2022/3/16 9:08:19,2022/3/16 9:09:15,TRUE,0.9297166667,1,42526,42526
4,TTWK000526946,2022/3/16 9:09:27,2022/3/16 9:10:47,TRUE,1.331816667,1,42526,42526
5,TTWK000526945,2022/3/16 9:10:56,2022/3/16 9:12:17,TRUE,1.342616667,1,42526,42526
6,TTWK000526944,2022/3/16 9:12:27,2022/3/16 9:13:32,TRUE,1.0743,1,42526,42526
7,TTWK000510235,2022/3/16 9:13:40,2022/3/16 9:14:10,TRUE,0.4885,1,42526,42526
8,TTWK000526948,2022/3/16 9:14:24,2022/3/16 9:15:00,TRUE,0.5986333333,1,42526,42526
9,TTWK000526949,2022/3/16 9:15:11,2022/3/16 9:16:37,TRUE,1.433283333,1,42526,42526
10,TTWK000470640,2022/3/16 9:16:52,2022/3/16 9:18:11,TRUE,1.323433333,1,42526,42526
11,TTWK000510236,2022/3/16 9:18:26,2022/3/16 9:26:04,TRUE,7.643066667,1,42526,42526
12,TTWK000510237,2022/3/16 9:20:13,2022/3/16 9:22:50,TRUE,2.61255,1,79505,79505
13,TTWK000470642,2022/3/16 9:20:25,2022/3/16 9:24:59,TRUE,4.5632,1,79505,79505
14,TTWK000510238,2022/3/16 9:20:36,2022/3/16 9:25:10,TRUE,4.573483333,1,79505,79505
15,TTWK000526950,2022/3/16 9:26:37,2022/3/16 9:28:07,TRUE,1.515416667,1,79505,79505
16,TTWK000470647,2022/3/16 9:26:41,2022/3/16 9:28:27,TRUE,1.76455,1,42526,42526
17,TTWK000510239,2022/3/16 9:26:48,2022/3/16 9:30:07,TRUE,3.32645,1,79505,79505
18,TTWK000526951,2022/3/16 9:26:59,2022/3/16 9:30:18,TRUE,3.309283333,1,79505,79505
19,TTWK000510245,2022/3/16 9:28:38,2022/3/16 9:36:07,TRUE,7.484933333,1,42526,42526
20,TTWK000526953,2022/3/16 9:32:05,2022/3/16 9:32:53,TRUE,0.79115,1,79505,79505
21,TTWK000470649,2022/3/16 9:32:15,2022/3/16 9:35:08,TRUE,2.872833333,1,79505,79505
22,TTWK000526952,2022/3/16 9:32:26,2022/3/16 9:35:20,TRUE,2.89025,1,79505,79505
23,TTWK000510246,2022/3/16 9:37:11,2022/3/16 9:40:25,TRUE,3.240383333,1,42526,42526
24,TTWK000526956,2022/3/16 9:37:14,2022/3/16 9:39:09,TRUE,1.906283333,1,79505,79505
25,TTWK000526955,2022/3/16 9:37:25,2022/3/16 9:39:20,TRUE,1.91485,1,79505,79505
26,TTWK000526954,2022/3/16 9:37:37,2022/3/16 9:39:32,TRUE,1.916533333,1,79505,79505
27,TTWK000510241,2022/3/16 9:40:08,2022/3/16 9:41:07,TRUE,0.98935,1,118401,118401
28,TTWK000510247,2022/3/16 9:40:36,2022/3/16 9:41:51,TRUE,1.24245,1,42526,42526
29,TTWK000510248,2022/3/16 9:40:58,2022/3/16 9:48:29,TRUE,7.511533333,1,79505,79505
30,TTWK000470651,2022/3/16 9:41:08,2022/3/16 9:48:14,TRUE,7.1052,1,79505,79505
