,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
0,43967,2022/3/7 15:38:39,2022/2/22 16:10:39,TRUE,-18688.01022,1,43967,43967
1,TTWK000516886,2022/3/7 9:57:22,2022/3/7 9:59:04,TRUE,1.6971,1,43967,43967
2,TTWK000520917,2022/3/7 9:59:25,2022/3/7 10:06:38,TRUE,7.2169,1,43967,43967
3,TTWK000520918,2022/3/7 10:06:57,2022/3/7 10:13:13,TRUE,6.268233333,1,43967,43967
4,TTWK000520919,2022/3/7 10:13:30,2022/3/7 10:15:29,TRUE,1.989733333,1,43967,43967
5,TTWK000470053,2022/3/7 10:15:41,2022/3/7 10:16:49,TRUE,1.12425,1,43967,43967
6,TTWK000470058,2022/3/7 10:17:46,2022/3/7 10:18:24,TRUE,0.64115,1,43967,43967
7,TTWK000520930,2022/3/7 10:18:45,2022/3/7 10:20:51,TRUE,2.0982,1,43967,43967
8,TTWK000520939,2022/3/7 10:20:43,2022/3/7 10:44:02,TRUE,23.31831667,1,118418,118418
9,TTWK000520938,2022/3/7 10:20:56,2022/3/7 10:43:48,TRUE,22.86773333,1,118418,118418
10,TTWK000520937,2022/3/7 10:21:06,2022/3/7 10:43:35,TRUE,22.47756667,1,118418,118418
11,TTWK000516891,2022/3/7 10:21:11,2022/3/7 10:24:15,TRUE,3.070483333,1,43967,43967
12,TTWK000520940,2022/3/7 10:21:16,2022/3/7 10:43:18,TRUE,22.04383333,1,118418,118418
13,TTWK000520941,2022/3/7 10:21:28,2022/3/7 10:43:07,TRUE,21.64656667,1,118418,118418
14,TTWK000470057,2022/3/7 10:24:31,2022/3/7 10:24:42,TRUE,0.1895,1,43967,43967
15,TTWK000520931,2022/3/7 10:24:54,2022/3/7 10:26:34,TRUE,1.6714,1,43967,43967
16,TTWK000520932,2022/3/7 10:27:28,2022/3/7 10:28:22,TRUE,0.9042,1,43967,43967
17,TTWK000520955,2022/3/7 10:28:58,2022/3/7 10:30:31,TRUE,1.535433333,1,43967,43967
18,TTWK000520934,2022/3/7 10:32:14,2022/3/7 10:33:02,TRUE,0.7926666667,1,43967,43967
19,TTWK000520935,2022/3/7 10:33:12,2022/3/7 10:34:03,TRUE,0.8435833333,1,43967,43967
20,TTWK000520936,2022/3/7 10:34:25,2022/3/7 10:36:10,TRUE,1.747066667,1,43967,43967
21,TTWK000516897,2022/3/7 10:37:34,2022/3/7 10:46:34,TRUE,8.984016667,1,43967,43967
22,TTWK000520948,2022/3/7 10:46:52,2022/3/7 10:47:38,TRUE,0.75905,1,43967,43967
23,TTWK000520944,2022/3/7 10:50:27,2022/3/7 11:06:28,TRUE,16.02008333,1,118418,118418
24,TTWK000520951,2022/3/7 10:50:40,2022/3/7 11:06:42,TRUE,16.03863333,1,118418,118418
25,TTWK000516896,2022/3/7 10:50:56,2022/3/7 11:09:37,TRUE,18.68521667,1,118418,118418
26,TTWK000520943,2022/3/7 10:51:21,2022/3/7 11:06:16,TRUE,14.90911667,1,118418,118418
27,TTWK000520947,2022/3/7 11:10:03,2022/3/7 11:18:38,TRUE,8.584583333,1,118418,118418
28,TTWK000520946,2022/3/7 11:10:21,2022/3/7 11:18:57,TRUE,8.60135,1,118418,118418
29,TTWK000520945,2022/3/7 11:10:36,2022/3/7 11:23:27,TRUE,12.85436667,1,118418,118418
30,TTWK000520953,2022/3/7 11:18:25,2022/3/7 11:18:41,TRUE,0.2791,1,42595,42595
31,TTWK000520952,2022/3/7 11:18:57,2022/3/7 11:19:11,TRUE,0.2352333333,1,42595,42595
32,TTWK000520954,2022/3/7 11:19:28,2022/3/7 11:27:20,TRUE,7.861716667,1,42595,42595
33,TTWK000520958,2022/3/7 11:21:44,2022/3/7 11:22:48,TRUE,1.069616667,1,42595,42595
34,TTWK000516898,2022/3/7 11:23:11,2022/3/7 11:31:39,TRUE,8.466133333,1,42595,42595
35,TTWK000470060,2022/3/7 11:26:30,2022/3/7 11:32:17,TRUE,5.79735,1,118418,118418
36,TTWK000470059,2022/3/7 11:26:48,2022/3/7 11:32:07,TRUE,5.308883333,1,118418,118418
37,TTWK000470061,2022/3/7 11:32:13,2022/3/7 11:35:29,TRUE,3.272516667,1,42595,42595
38,TTWK000516899,2022/3/7 11:32:31,2022/3/7 13:17:35,TRUE,105.0788167,1,118418,118418
39,TTWK000520956,2022/3/7 11:35:44,2022/3/7 11:38:29,TRUE,2.7509,1,42595,42595
40,TTWK000520957,2022/3/7 11:38:48,2022/3/7 11:40:53,TRUE,2.0773,1,42595,42595
