,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
57,TTWK000559803,2022/5/20 8:52:29,2022/5/20 8:52:41,TRUE,0.1901333333,1,42436,42436
58,TTWK000559781,2022/5/20 8:52:56,2022/5/20 8:53:08,TRUE,0.2008166667,1,42436,42436
59,TTWK000542723,2022/5/20 8:53:22,2022/5/20 8:53:33,TRUE,0.18405,1,42436,42436
60,TTWK000559812,2022/5/20 8:53:37,2022/5/20 8:59:01,TRUE,5.395916667,1,42532,42532
61,TTWK000538692,2022/5/20 8:54:12,2022/5/20 8:54:29,TRUE,0.2811833333,1,42436,42436
62,TTWK000559782,2022/5/20 8:54:46,2022/5/20 8:54:59,TRUE,0.2073666667,1,42436,42436
63,TTWK000559779,2022/5/20 8:55:14,2022/5/20 8:55:25,TRUE,0.17915,1,42436,42436
64,TTWK000542722,2022/5/20 9:00:10,2022/5/20 8:55:41,TRUE,-4.47975,1,42436,42436
65,TTWK000542731,2022/5/20 8:59:11,2022/5/20 8:59:53,TRUE,0.6971,1,42532,42532
66,TTWK000542730,2022/5/20 9:00:06,2022/5/20 9:00:58,TRUE,0.8678333333,1,42532,42532
67,TTWK000542728,2022/5/20 9:01:10,2022/5/20 9:02:04,TRUE,0.9024333333,1,42532,42532
68,TTWK000559811,2022/5/20 9:01:18,2022/5/20 9:02:13,TRUE,0.9156166667,1,42532,42532
69,TTWK000559810,2022/5/20 9:02:23,2022/5/20 9:03:08,TRUE,0.7468833333,1,42532,42532
70,TTWK000559809,2022/5/20 9:03:22,2022/5/20 9:04:27,TRUE,1.0932,1,42532,42532
71,TTWK000559808,2022/5/20 9:04:39,2022/5/20 9:05:25,TRUE,0.7648833333,1,42532,42532
72,TTWK000559807,2022/5/20 9:05:38,2022/5/20 9:06:21,TRUE,0.72355,1,42532,42532
73,TTWK000538709,2022/5/20 9:06:54,2022/5/20 9:10:56,TRUE,4.03685,1,42532,42532
74,TTWK000542737,2022/5/20 9:11:06,2022/5/20 9:13:06,TRUE,1.993033333,1,42532,42532
75,TTWK000536476,2022/5/20 9:13:05,2022/5/20 9:21:59,TRUE,8.901466667,1,42436,42436
76,TTWK000536475,2022/5/20 9:13:29,2022/5/20 9:23:09,TRUE,9.671116667,1,42532,42532
77,TTWK000536437,2022/5/20 9:23:19,2022/5/20 9:29:33,TRUE,6.2394,1,42532,42532
78,TTWK000542743,2022/5/20 9:25:56,2022/5/20 9:26:11,TRUE,0.2449666667,1,42436,42436
79,TTWK000536438,2022/5/20 9:28:41,2022/5/20 9:30:26,TRUE,1.747833333,1,42436,42436
80,TTWK000536474,2022/5/20 9:29:51,2022/5/20 9:36:52,TRUE,7.01965,1,42532,42532
81,TTWK000542744,2022/5/20 9:30:46,2022/5/20 9:39:30,TRUE,8.7313,1,42436,42436
82,TTWK000542746,2022/5/20 9:37:28,2022/5/20 9:39:24,TRUE,1.939066667,1,42532,42532
83,TTWK000559816,2022/5/20 9:39:32,2022/5/20 9:42:09,TRUE,2.615216667,1,42532,42532
84,TTWK000559819,2022/5/20 9:40:06,2022/5/20 9:42:13,TRUE,2.121583333,1,42436,42436
85,TTWK000559817,2022/5/20 9:42:21,2022/5/20 9:44:48,TRUE,2.439716667,1,42532,42532
86,TTWK000542751,2022/5/20 9:42:32,2022/5/20 9:43:47,TRUE,1.252,1,42436,42436
87,TTWK000536478,2022/5/20 9:44:09,2022/5/20 10:07:22,TRUE,23.2223,1,42436,42436
88,TTWK000542747,2022/5/20 9:45:04,2022/5/20 9:46:04,TRUE,1.00585,1,42532,42532
89,TTWK000536477,2022/5/20 9:46:17,2022/5/20 9:52:49,TRUE,6.53295,1,42532,42532
90,TTWK000542745,2022/5/20 9:53:39,2022/5/20 9:55:27,TRUE,1.80035,1,42532,42532
91,TTWK000536439,2022/5/20 9:55:36,2022/5/20 10:07:05,TRUE,11.47798333,1,42532,42532
92,TTWK000542753,2022/5/20 10:14:18,2022/5/20 10:15:39,TRUE,1.35675,1,42532,42532
93,TTWK000536479,2022/5/20 10:15:59,2022/5/20 10:20:28,TRUE,4.492716667,1,42532,42532
94,TTWK000559820,2022/5/20 10:18:20,2022/5/20 10:19:22,TRUE,1.03275,1,42436,42436
95,TTWK000542748,2022/5/20 10:19:49,2022/5/20 10:21:04,TRUE,1.2592,1,42436,42436
96,TTWK000542637,2022/5/20 10:20:42,2022/5/20 10:23:16,TRUE,2.572166667,1,42532,42532
97,TTWK000536440,2022/5/20 10:23:36,2022/5/20 10:33:22,TRUE,9.77625,1,42532,42532
98,TTWK000542749,2022/5/20 10:25:35,2022/5/20 10:25:49,TRUE,0.2384,1,42436,42436
99,TTWK000559818,2022/5/20 10:26:37,2022/5/20 10:27:51,TRUE,1.237983333,1,42436,42436
100,TTWK000542750,2022/5/20 10:28:08,2022/5/20 10:30:33,TRUE,2.41495,1,42436,42436
101,TTWK000536483,2022/5/20 10:31:53,2022/5/20 10:35:41,TRUE,3.814033333,1,42436,42436
102,TTWK000536444,2022/5/20 10:33:53,2022/5/20 10:48:58,TRUE,15.08568333,1,42532,42532
103,TTWK000542756,2022/5/20 10:44:50,2022/5/20 10:45:02,TRUE,0.1893666667,1,42436,42436
104,TTWK000538710,2022/5/20 10:47:36,2022/5/20 10:51:20,TRUE,3.7316,1,42436,42436
105,TTWK000542754,2022/5/20 10:49:37,2022/5/20 10:50:53,TRUE,1.26005,1,42532,42532
106,TTWK000536484,2022/5/20 10:51:35,2022/5/20 10:54:49,TRUE,3.225083333,1,42436,42436
107,TTWK000536480,2022/5/20 11:20:15,2022/5/20 11:46:20,TRUE,26.08793333,1,42532,42532
108,TTWK000536441,2022/5/20 11:26:34,2022/5/20 11:48:19,TRUE,21.73856667,1,42436,42436
109,TTWK000536442,2022/5/20 11:47:45,2022/5/20 12:00:36,TRUE,12.84626667,1,42532,42532
110,TTWK000538711,2022/5/20 12:12:05,2022/5/20 12:13:57,TRUE,1.8601,1,42550,42550
111,TTWK000536485,2022/5/20 12:22:26,2022/5/20 12:26:29,TRUE,4.0505,1,42550,42550
112,TTWK000559828,2022/5/20 12:27:17,2022/5/20 12:28:05,TRUE,0.7940166667,1,42550,42550
113,TTWK000542757,2022/5/20 12:28:57,2022/5/20 12:29:42,TRUE,0.7513666667,1,42550,42550
114,TTWK000542758,2022/5/20 12:30:19,2022/5/20 12:30:53,TRUE,0.5640333333,1,42550,42550
115,TTWK000542736,2022/5/20 12:34:27,2022/5/20 12:35:02,TRUE,0.5859333333,1,42550,42550
116,TTWK000559800,2022/5/20 12:35:28,2022/5/20 12:36:12,TRUE,0.7336666667,1,42550,42550
117,TTWK000542735,2022/5/20 12:36:34,2022/5/20 12:37:01,TRUE,0.4598,1,42550,42550
118,TTWK000559801,2022/5/20 12:37:32,2022/5/20 12:38:06,TRUE,0.5677,1,42550,42550
119,TTWK000542759,2022/5/20 12:37:37,2022/5/20 12:39:15,TRUE,1.634933333,1,42526,42526
120,TTWK000542733,2022/5/20 12:38:24,2022/5/20 12:39:11,TRUE,0.7727333333,1,42550,42550
121,TTWK000559821,2022/5/20 12:39:22,2022/5/20 12:40:36,TRUE,1.22905,1,42526,42526
122,TTWK000559813,2022/5/20 12:39:24,2022/5/20 12:39:49,TRUE,0.41625,1,42550,42550
123,TTWK000542734,2022/5/20 12:40:01,2022/5/20 12:40:55,TRUE,0.89865,1,42550,42550
124,TTWK000559823,2022/5/20 12:40:46,2022/5/20 12:41:51,TRUE,1.085716667,1,42526,42526
125,TTWK000559822,2022/5/20 12:42:00,2022/5/20 12:42:33,TRUE,0.5522166667,1,42526,42526
126,TTWK000559824,2022/5/20 12:42:43,2022/5/20 12:43:14,TRUE,0.5101166667,1,42526,42526
127,TTWK000542762,2022/5/20 12:43:22,2022/5/20 12:44:02,TRUE,0.6740833333,1,42526,42526
128,TTWK000542764,2022/5/20 12:43:47,2022/5/20 12:44:40,TRUE,0.8857166667,1,42550,42550
129,TTWK000559825,2022/5/20 12:44:10,2022/5/20 12:44:42,TRUE,0.5334166667,1,42526,42526
130,TTWK000542761,2022/5/20 12:44:49,2022/5/20 12:45:31,TRUE,0.6878833333,1,42526,42526
131,TTWK000559826,2022/5/20 12:45:00,2022/5/20 12:47:14,TRUE,2.227866667,1,42550,42550
132,TTWK000542760,2022/5/20 12:45:39,2022/5/20 12:46:11,TRUE,0.5346666667,1,42526,42526
133,TTWK000542765,2022/5/20 12:47:53,2022/5/20 12:48:49,TRUE,0.9380833333,1,42550,42550
134,TTWK000538712,2022/5/20 12:50:13,2022/5/20 12:51:48,TRUE,1.595066667,1,42526,42526
135,TTWK000559815,2022/5/20 12:51:59,2022/5/20 12:53:55,TRUE,1.946133333,1,42526,42526
136,TTWK000559835,2022/5/20 12:53:33,2022/5/20 12:54:40,TRUE,1.113833333,1,42550,42550
137,TTWK000559829,2022/5/20 12:54:05,2022/5/20 12:55:58,TRUE,1.8782,1,42526,42526
138,TTWK000559836,2022/5/20 12:55:01,2022/5/20 12:56:55,TRUE,1.905066667,1,42550,42550
139,TTWK000559830,2022/5/20 12:56:07,2022/5/20 12:57:53,TRUE,1.76025,1,42526,42526
140,TTWK000559837,2022/5/20 12:57:06,2022/5/20 12:58:38,TRUE,1.523966667,1,42550,42550
141,TTWK000559833,2022/5/20 12:58:06,2022/5/20 13:00:21,TRUE,2.2584,1,42526,42526
142,TTWK000559838,2022/5/20 12:58:52,2022/5/20 13:00:29,TRUE,1.61305,1,42550,42550
143,TTWK000559832,2022/5/20 13:00:29,2022/5/20 13:02:40,TRUE,2.1729,1,42526,42526
144,TTWK000542766,2022/5/20 13:00:39,2022/5/20 13:01:34,TRUE,0.92185,1,42550,42550
145,TTWK000536487,2022/5/20 13:01:39,2022/5/20 13:26:26,TRUE,24.77405,1,42436,42436
146,TTWK000542767,2022/5/20 13:02:29,2022/5/20 13:03:07,TRUE,0.64915,1,42550,42550
147,TTWK000559827,2022/5/20 13:02:49,2022/5/20 13:06:18,TRUE,3.4765,1,42526,42526
148,TTWK000538713,2022/5/20 13:03:23,2022/5/20 13:06:24,TRUE,3.0276,1,42550,42550
149,TTWK000559839,2022/5/20 13:05:13,2022/5/20 13:06:59,TRUE,1.757933333,1,42532,42532
150,TTWK000559831,2022/5/20 13:06:26,2022/5/20 13:07:50,TRUE,1.386766667,1,42526,42526
151,TTWK000536486,2022/5/20 13:06:39,2022/5/20 13:09:28,TRUE,2.828466667,1,42550,42550
152,TTWK000542772,2022/5/20 13:07:08,2022/5/20 13:07:54,TRUE,0.7676833333,1,42532,42532
153,TTWK000559840,2022/5/20 13:08:08,2022/5/20 13:10:27,TRUE,2.30485,1,42532,42532
154,TTWK000542809,2022/5/20 13:08:28,2022/5/20 13:09:32,TRUE,1.065016667,1,42526,42526
155,TTWK000542769,2022/5/20 13:09:43,2022/5/20 13:10:29,TRUE,0.7564333333,1,42526,42526
156,TTWK000559846,2022/5/20 13:10:22,2022/5/20 13:12:32,TRUE,2.170316667,1,42550,42550
157,TTWK000542768,2022/5/20 13:10:38,2022/5/20 13:11:16,TRUE,0.6329333333,1,42526,42526
